A1BG	alpha-1-B_glycoprotein
PDGFC	platelet_derived_growth_factor_C
PDGFD	platelet_derived_growth_factor_D
PDGFRA	platelet_derived_growth_factor_receptor_alpha
PDGFRB	platelet_derived_growth_factor_receptor_beta
PDGFRL	platelet_derived_growth_factor_receptor_like
PDHA1	pyruvate_dehydrogenase_(lipoamide)_alpha_1
PDHA1P1	pyruvate_dehydrogenase_(lipoamide)_alpha_1_pseudogene_1
PDHA2	pyruvate_dehydrogenase_(lipoamide)_alpha_2
PDHB	pyruvate_dehydrogenase_(lipoamide)_beta
PDHX	pyruvate_dehydrogenase_complex_component_X
PDIA2	protein_disulfide_isomerase_family_A_member_2
PDIA3	protein_disulfide_isomerase_family_A_member_3
PDIA3P1	protein_disulfide_isomerase_family_A_member_3_pseudogene_1
PDIA3P2	protein_disulfide_isomerase_family_A_member_3_pseudogene_2
PDIA4	protein_disulfide_isomerase_family_A_member_4
PDIA5	protein_disulfide_isomerase_family_A_member_5
PDIA6	protein_disulfide_isomerase_family_A_member_6
PDIK1L	PDLIM1_interacting_kinase_1_like
PDILT	protein_disulfide_isomerase_like,_testis_expressed
PDK1	pyruvate_dehydrogenase_kinase_1
PDK1P1	pyruvate_dehydrogenase_kinase_1_pseudogene_1
PDK2	pyruvate_dehydrogenase_kinase_2
PDK3	pyruvate_dehydrogenase_kinase_3
PDK4	pyruvate_dehydrogenase_kinase_4
PDLIM1	PDZ_and_LIM_domain_1
PDLIM1P1	PDZ_and_LIM_domain_1_pseudogene_1
PDLIM1P2	PDZ_and_LIM_domain_1_pseudogene_2
PDLIM1P3	PDZ_and_LIM_domain_1_pseudogene_3
PDLIM1P4	PDZ_and_LIM_domain_1_pseudogene_4
PDLIM2	PDZ_and_LIM_domain_2
PDLIM3	PDZ_and_LIM_domain_3
PDLIM4	PDZ_and_LIM_domain_4
PDLIM5	PDZ_and_LIM_domain_5
PDLIM7	PDZ_and_LIM_domain_7
PDP1	pyruvate_dehyrogenase_phosphatase_catalytic_subunit_1
PDP2	pyruvate_dehyrogenase_phosphatase_catalytic_subunit_2
PDPK1	3-phosphoinositide_dependent_protein_kinase_1
PDPK2P	3-phosphoinositide_dependent_protein_kinase_2,_pseudogene
PDPN	podoplanin
PDPR	pyruvate_dehydrogenase_phosphatase_regulatory_subunit
PDR	pigment_disorder,_reticulate
PDRG1	p53_and_DNA_damage_regulated_1
PDS5A	PDS5_cohesin_associated_factor_A
PDS5B	PDS5_cohesin_associated_factor_B
PDSS1	prenyl_(decaprenyl)_diphosphate_synthase,_subunit_1
PDSS1P1	prenyl_(decaprenyl)_diphosphate_synthase,_subunit_1_pseudogene_1
PDSS1P2	prenyl_(decaprenyl)_diphosphate_synthase,_subunit_1_pseudogene_2
PDSS2	prenyl_(decaprenyl)_diphosphate_synthase,_subunit_2
PDX1	pancreatic_and_duodenal_homeobox_1
PDX1-AS1	PDX1_antisense_RNA_1
PDXDC1	pyridoxal-dependent_decarboxylase_domain_containing_1
PDXDC2P	pyridoxal-dependent_decarboxylase_domain_containing_2,_pseudogene
PDXK	pyridoxal_(pyridoxine,_vitamin_B6)_kinase
PDXP	pyridoxal_phosphatase
PDYN	prodynorphin
PDZD2	PDZ_domain_containing_2
PDZD3	PDZ_domain_containing_3
PDZD4	PDZ_domain_containing_4
PDZD7	PDZ_domain_containing_7
PDZD8	PDZ_domain_containing_8
PDZD9	PDZ_domain_containing_9
PDZD11	PDZ_domain_containing_11
PDZK1	PDZ_domain_containing_1
PDZK1IP1	PDZK1_interacting_protein_1
PDZK1P1	PDZ_domain_containing_1_pseudogene_1
PDZPH1P	PDZ_and_pleckstrin_homology_domains_1,_pseudogene
PDZRN3	PDZ_domain_containing_ring_finger_3
PDZRN3-AS1	PDZRN3_antisense_RNA_1
PDZRN4	PDZ_domain_containing_ring_finger_4
PEA15	phosphoprotein_enriched_in_astrocytes_15
PEAK1	pseudopodium_enriched_atypical_kinase_1
PEAR1	platelet_endothelial_aggregation_receptor_1
PEBP1	phosphatidylethanolamine_binding_protein_1
PEBP1P1	phosphatidylethanolamine_binding_protein_1_pseudogene_1
PEBP1P2	phosphatidylethanolamine_binding_protein_1_pseudogene_2
PEBP1P3	phosphatidylethanolamine_binding_protein_1_pseudogene_3
PEBP4	phosphatidylethanolamine_binding_protein_4
PECAM1	platelet_and_endothelial_cell_adhesion_molecule_1
PECR	peroxisomal_trans-2-enoyl-CoA_reductase
PEE1	preeclampsia/eclampsia_1
PEF1	penta-EF-hand_domain_containing_1
PEG3	paternally_expressed_3
PEG3-AS1	PEG3_antisense_RNA_1
PEG10	paternally_expressed_10
PEG13	paternally_expressed_13
PELI1	pellino_E3_ubiquitin_protein_ligase_1
PELI2	pellino_E3_ubiquitin_protein_ligase_family_member_2
PELI3	pellino_E3_ubiquitin_protein_ligase_family_member_3
PELO	pelota_homolog_(Drosophila)
PELP1	proline,_glutamate_and_leucine_rich_protein_1
PEMT	phosphatidylethanolamine_N-methyltransferase
PENK	proenkephalin
PEPB	peptidase_B
PEPC	peptidase_C
PEPD	peptidase_D
PEPE	peptidase_E
PER1	period_circadian_clock_1
PER2	period_circadian_clock_2
PER3	period_circadian_clock_3
PERM1	PPARGC1_and_ESRR_induced_regulator,_muscle_1
PERP	PERP,_TP53_apoptosis_effector
PES1	pescadillo_ribosomal_biogenesis_factor_1
PES1P1	pescadillo_ribosomal_biogenesis_factor_1_pseudogene_1
PES1P2	pescadillo_ribosomal_biogenesis_factor_1_pseudogene_2
PET100	PET100_homolog
PET117	PET117_homolog
PEX1	peroxisomal_biogenesis_factor_1
PEX2	peroxisomal_biogenesis_factor_2
PEX3	peroxisomal_biogenesis_factor_3
PEX5	peroxisomal_biogenesis_factor_5
PEX5L	peroxisomal_biogenesis_factor_5-like
PEX5L-AS1	PEX5L_antisense_RNA_1
PEX5L-AS2	PEX5L_antisense_RNA_2
PEX6	peroxisomal_biogenesis_factor_6
PEX7	peroxisomal_biogenesis_factor_7
PEX10	peroxisomal_biogenesis_factor_10
PEX11A	peroxisomal_biogenesis_factor_11_alpha
PEX11B	peroxisomal_biogenesis_factor_11_beta
PEX11G	peroxisomal_biogenesis_factor_11_gamma
PEX12	peroxisomal_biogenesis_factor_12
PEX12P1	peroxisomal_biogenesis_factor_12_pseudogene_1
PEX13	peroxisomal_biogenesis_factor_13
PEX14	peroxisomal_biogenesis_factor_14
PEX16	peroxisomal_biogenesis_factor_16
PEX19	peroxisomal_biogenesis_factor_19
PEX26	peroxisomal_biogenesis_factor_26
PF4	platelet_factor_4
PF4V1	platelet_factor_4_variant_1
PFAS	phosphoribosylformylglycinamidine_synthase
PFDN1	prefoldin_subunit_1
PFDN2	prefoldin_subunit_2
PFDN4	prefoldin_subunit_4
PFDN5	prefoldin_subunit_5
PFDN6	prefoldin_subunit_6
PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase_1
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase_2
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase_3
PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase_4
PFKL	phosphofructokinase,_liver_type
PFKM	phosphofructokinase,_muscle
PFKP	phosphofructokinase,_platelet
PFM3	parietal_foramina_3
PFN1	profilin_1
PFN1P1	profilin_1_pseudogene_1
PFN1P2	profilin_1_pseudogene_2
PFN1P3	profilin_1_pseudogene_3
PFN1P4	profilin_1_pseudogene_4
PFN1P6	profilin_1_pseudogene_6
PFN1P8	profilin_1_pseudogene_8
PFN1P9	profilin_1_pseudogene_9
PFN1P10	profilin_1_pseudogene_10
PFN1P11	profilin_1_pseudogene_11
PFN1P12	profilin_1_pseudogene_12
PFN2	profilin_2
PFN3	profilin_3
PFN4	profilin_family_member_4
PGA3	pepsinogen_3,_group_I_(pepsinogen_A)
PGA4	pepsinogen_4,_group_I_(pepsinogen_A)
PGA5	pepsinogen_5,_group_I_(pepsinogen_A)
PGAM1	phosphoglycerate_mutase_1
PGAM1P1	phosphoglycerate_mutase_1_pseudogene_1
PGAM1P2	phosphoglycerate_mutase_1_pseudogene_2
PGAM1P3	phosphoglycerate_mutase_1_pseudogene_3
PGAM1P4	phosphoglycerate_mutase_1_pseudogene_4
PGAM1P5	phosphoglycerate_mutase_1_pseudogene_5
PGAM1P6	phosphoglycerate_mutase_1_pseudogene_6
PGAM1P7	phosphoglycerate_mutase_1_pseudogene_7
PGAM1P8	phosphoglycerate_mutase_1_pseudogene_8
PGAM1P9	phosphoglycerate_mutase_1_pseudogene_9
PGAM1P10	phosphoglycerate_mutase_1_pseudogene_10
PGAM1P11	phosphoglycerate_mutase_1_pseudogene_11
PGAM1P12	phosphoglycerate_mutase_1_pseudogene_12
PGAM1P13	phosphoglycerate_mutase_1_pseudogene_13
PGAM2	phosphoglycerate_mutase_2
PGAM3P	phosphoglycerate_mutase_3,_pseudogene
PGAM4	phosphoglycerate_mutase_family_member_4
PGAM4P1	phosphoglycerate_mutase_family_member_4_pseudogene_1
PGAM4P2	phosphoglycerate_mutase_family_member_4_pseudogene_2
PGAM5	PGAM_family_member_5,_mitochondrial_serine/threonine_protein_phosphatase
PGAM5P1	PGAM_family_member_5,_mitochondrial_serine/threonine_protein_phosphatase_pseudogene_1
PGAP1	post-GPI_attachment_to_proteins_1
PGAP2	post-GPI_attachment_to_proteins_2
PGAP3	post-GPI_attachment_to_proteins_3
PGBD1	piggyBac_transposable_element_derived_1
PGBD2	piggyBac_transposable_element_derived_2
PGBD3	piggyBac_transposable_element_derived_3
PGBD3P1	piggyBac_transposable_element_derived_3_pseudogene_1
PGBD3P2	piggyBac_transposable_element_derived_3_pseudogene_2
PGBD3P3	piggyBac_transposable_element_derived_3_pseudogene_3
PGBD3P4	piggyBac_transposable_element_derived_3_pseudogene_4
PGBD4	piggyBac_transposable_element_derived_4
PGBD4P1	piggyBac_transposable_element_derived_4_pseudogene_1
PGBD4P2	piggyBac_transposable_element_derived_4_pseudogene_2
PGBD4P3	piggyBac_transposable_element_derived_4_pseudogene_3
PGBD4P4	piggyBac_transposable_element_derived_4_pseudogene_4
PGBD4P5	piggyBac_transposable_element_derived_4_pseudogene_5
PGBD4P6	piggyBac_transposable_element_derived_4_pseudogene_6
PGBD4P7	piggyBac_transposable_element_derived_4_pseudogene_7
PGBD4P8	piggyBac_transposable_element_derived_4_pseudogene_8
PGBD5	piggyBac_transposable_element_derived_5
PGC	progastricsin_(pepsinogen_C)
PGCP1	progastricsin_(pepsinogen_C)_pseudogene_1
PGD	phosphogluconate_dehydrogenase
PGDP1	phosphogluconate_dehydrogenase_pseudogene_1
PGDP2	phosphogluconate_dehydrogenase_pseudogene_2
PGF	placental_growth_factor
PGGT1B	protein_geranylgeranyltransferase_type_I_subunit_beta
PGGT1BP1	protein_geranylgeranyltransferase_type_I,_beta_subunit_pseudogene_1
PGGT1BP2	protein_geranylgeranyltransferase_type_I,_beta_subunit_pseudogene_2
PGK1	phosphoglycerate_kinase_1
PGK1P1	phosphoglycerate_kinase_1,_pseudogene_1
PGK1P2	phosphoglycerate_kinase_1,_pseudogene_2
PGK2	phosphoglycerate_kinase_2
PGLS	6-phosphogluconolactonase
PGLYRP1	peptidoglycan_recognition_protein_1
PGLYRP2	peptidoglycan_recognition_protein_2
PGLYRP3	peptidoglycan_recognition_protein_3
PGLYRP4	peptidoglycan_recognition_protein_4
PGM1	phosphoglucomutase_1
PGM2	phosphoglucomutase_2
PGM2L1	phosphoglucomutase_2-like_1
PGM3	phosphoglucomutase_3
PGM5	phosphoglucomutase_5
PGM5-AS1	PGM5_antisense_RNA_1
PGM5P1	phosphoglucomutase_5_pseudogene_1
PGM5P2	phosphoglucomutase_5_pseudogene_2
PGM5P3	phosphoglucomutase_5_pseudogene_3
PGM5P3-AS1	PGM5P3_antisense_RNA_1
PGM5P4	phosphoglucomutase_5_pseudogene_4
PGM5P4-AS1	PGM5P4_antisense_RNA_1
PGP	phosphoglycolate_phosphatase
PGPEP1	pyroglutamyl-peptidase_I
PGPEP1L	pyroglutamyl-peptidase_I-like
PGR	progesterone_receptor
PGRMC1	progesterone_receptor_membrane_component_1
PGRMC2	progesterone_receptor_membrane_component_2
PGS1	phosphatidylglycerophosphate_synthase_1
PHACTR1	phosphatase_and_actin_regulator_1
PHACTR2	phosphatase_and_actin_regulator_2
PHACTR2-AS1	PHACTR2_antisense_RNA_1
PHACTR2P1	phosphatase_and_actin_regulator_2_pseudogene_1
PHACTR3	phosphatase_and_actin_regulator_3
PHACTR4	phosphatase_and_actin_regulator_4
PHAX	phosphorylated_adaptor_for_RNA_export
PHB	prohibitin
PHB2	prohibitin_2
PHB2P1	prohibitin_2_pseudogene_1
PHBP1	prohibitin_pseudogene_1
PHBP2	prohibitin_pseudogene_2
PHBP3	prohibitin_pseudogene_3
PHBP4	prohibitin_pseudogene_4
PHBP5	prohibitin_pseudogene_5
PHBP6	prohibitin_pseudogene_6
PHBP7	prohibitin_pseudogene_7
PHBP8	prohibitin_pseudogene_8
PHBP9	prohibitin_pseudogene_9
PHBP10	prohibitin_pseudogene_10
PHBP11	prohibitin_pseudogene_11
PHBP12	prohibitin_pseudogene_12
PHBP13	prohibitin_pseudogene_13
PHBP14	prohibitin_pseudogene_14
PHBP15	prohibitin_pseudogene_15
PHBP16	prohibitin_pseudogene_16
PHBP17	prohibitin_pseudogene_17
PHBP18	prohibitin_pseudogene_18
PHBP19	prohibitin_pseudogene_19
PHBP20	prohibitin_pseudogene_20
PHBP21	prohibitin_pseudogene_21
PHC1	polyhomeotic_homolog_1
PHC1P1	polyhomeotic_homolog_1_pseudogene_1
PHC2	polyhomeotic_homolog_2
PHC3	polyhomeotic_homolog_3
PHEX	phosphate_regulating_endopeptidase_homolog,_X-linked
PHEX-AS1	PHEX_antisense_RNA_1
PHF1	PHD_finger_protein_1
PHF2	PHD_finger_protein_2
PHF2P1	PHD_finger_protein_2_pseudogene_1
PHF2P2	PHD_finger_protein_2_pseudogene_2
PHF3	PHD_finger_protein_3
PHF5A	PHD_finger_protein_5A
PHF5CP	PHD_finger_protein_5C_pseudogene
PHF5DP	PHD_finger_protein_5D_pseudogene
PHF5EP	PHD_finger_protein_5E_pseudogene
PHF5FP	PHD_finger_protein_5F_pseudogene
PHF5GP	PHD_finger_protein_5G_pseudogene
PHF5HP	PHD_finger_protein_5H_pseudogene
PHF6	PHD_finger_protein_6
PHF7	PHD_finger_protein_7
PHF8	PHD_finger_protein_8
PHF10	PHD_finger_protein_10
PHF10P1	PHD_finger_protein_10_pseudogene_1
PHF11	PHD_finger_protein_11
PHF12	PHD_finger_protein_12
PHF13	PHD_finger_protein_13
PHF14	PHD_finger_protein_14
PHF19	PHD_finger_protein_19
PHF20	PHD_finger_protein_20
PHF20L1	PHD_finger_protein_20-like_1
PHF21A	PHD_finger_protein_21A
PHF21B	PHD_finger_protein_21B
PHF23	PHD_finger_protein_23
PHF24	PHD_finger_protein_24
PHGDH	phosphoglycerate_dehydrogenase
PHGR1	proline/histidine/glycine-rich_1
PHIP	pleckstrin_homology_domain_interacting_protein
PHKA1	phosphorylase_kinase,_alpha_1_(muscle)
PHKA1-AS1	PHKA1_antisense_RNA_1
PHKA1P1	phosphorylase_kinase,_alpha_1_pseudogene_1
PHKA2	phosphorylase_kinase,_alpha_2_(liver)
PHKA2-AS1	PHKA2_antisense_RNA_1
PHKB	phosphorylase_kinase_beta_subunit
PHKBP1	phosphorylase_kinase,_beta_pseudogene_1
PHKBP2	phosphorylase_kinase,_beta_pseudogene_2
PHKG1	phosphorylase_kinase_gamma_subunit_1
PHKG1P1	phosphorylase_kinase_gamma_subunit_1_pseudogene_1
PHKG1P2	phosphorylase_kinase_gamma_subunit_1_pseudogene_2
PHKG1P3	phosphorylase_kinase_gamma_subunit_1_pseudogene_3
PHKG1P4	phosphorylase_kinase_gamma_subunit_1_pseudogene_4
PHKG2	phosphorylase_kinase_gamma_subunit_2
PHLDA1	pleckstrin_homology_like_domain_family_A_member_1
PHLDA2	pleckstrin_homology_like_domain_family_A_member_2
PHLDA3	pleckstrin_homology_like_domain_family_A_member_3
PHLDB1	pleckstrin_homology_like_domain_family_B_member_1
PHLDB2	pleckstrin_homology_like_domain_family_B_member_2
PHLDB3	pleckstrin_homology_like_domain_family_B_member_3
PHLPP1	PH_domain_and_leucine_rich_repeat_protein_phosphatase_1
PHLPP2	PH_domain_and_leucine_rich_repeat_protein_phosphatase_2
PHOSPHO1	phosphoethanolamine/phosphocholine_phosphatase
PHOSPHO2	phosphatase,_orphan_2
PHOX2A	paired_like_homeobox_2a
PHOX2B	paired_like_homeobox_2b
PHPT1	phosphohistidine_phosphatase_1
PHRF1	PHD_and_ring_finger_domains_1
PHTF1	putative_homeodomain_transcription_factor_1
PHTF2	putative_homeodomain_transcription_factor_2
PHYH	phytanoyl-CoA_2-hydroxylase
PHYHD1	phytanoyl-CoA_dioxygenase_domain_containing_1
PHYHIP	phytanoyl-CoA_2-hydroxylase_interacting_protein
PHYHIPL	phytanoyl-CoA_2-hydroxylase_interacting_protein_like
PHYKPL	5-phosphohydroxy-L-lysine_phospho-lyase
PI3	peptidase_inhibitor_3
PI4K2A	phosphatidylinositol_4-kinase_type_2_alpha
PI4K2B	phosphatidylinositol_4-kinase_type_2_beta
PI4KA	phosphatidylinositol_4-kinase_alpha
PI4KAP1	phosphatidylinositol_4-kinase_alpha_pseudogene_1
PI4KAP2	phosphatidylinositol_4-kinase_alpha_pseudogene_2
PI4KB	phosphatidylinositol_4-kinase_beta
PI15	peptidase_inhibitor_15
PI16	peptidase_inhibitor_16
PIANP	PILR_alpha_associated_neural_protein
PIAS1	protein_inhibitor_of_activated_STAT_1
PIAS2	protein_inhibitor_of_activated_STAT_2
PIAS3	protein_inhibitor_of_activated_STAT_3
PIAS4	protein_inhibitor_of_activated_STAT_4
PIBF1	progesterone_immunomodulatory_binding_factor_1
PICALM	phosphatidylinositol_binding_clathrin_assembly_protein
PICK1	protein_interacting_with_PRKCA_1
PICSAR	P38_inhibited_cutaneous_squamous_cell_carcinoma_associated_lincRNA
PID1	phosphotyrosine_interaction_domain_containing_1
PIDD1	p53-induced_death_domain_protein_1
PIEZO1	piezo_type_mechanosensitive_ion_channel_component_1
PIEZO1P1	piezo_type_mechanosensitive_ion_channel_component_1_pseudogene_1
PIEZO1P2	piezo_type_mechanosensitive_ion_channel_component_1_pseudogene_2
PIEZO2	piezo_type_mechanosensitive_ion_channel_component_2
PIF1	PIF1_5'-to-3'_DNA_helicase
PIFO	primary_cilia_formation
PIGA	phosphatidylinositol_glycan_anchor_biosynthesis_class_A
PIGAP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_A_pseudogene_1
PIGB	phosphatidylinositol_glycan_anchor_biosynthesis_class_B
PIGBOS1	PIGB_opposite_strand_1
PIGC	phosphatidylinositol_glycan_anchor_biosynthesis_class_C
PIGCP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_C_pseudogene_1
PIGCP2	phosphatidylinositol_glycan_anchor_biosynthesis_class_C_pseudogene_2
PIGF	phosphatidylinositol_glycan_anchor_biosynthesis_class_F
PIGFP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_F_pseudogene_1
PIGFP2	phosphatidylinositol_glycan_anchor_biosynthesis_class_F_pseudogene_2
PIGFP3	phosphatidylinositol_glycan_anchor_biosynthesis_class_F_pseudogene_3
PIGG	phosphatidylinositol_glycan_anchor_biosynthesis_class_G
PIGH	phosphatidylinositol_glycan_anchor_biosynthesis_class_H
PIGHP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_H_pseudogene_1
PIGK	phosphatidylinositol_glycan_anchor_biosynthesis_class_K
PIGL	phosphatidylinositol_glycan_anchor_biosynthesis_class_L
PIGM	phosphatidylinositol_glycan_anchor_biosynthesis_class_M
PIGN	phosphatidylinositol_glycan_anchor_biosynthesis_class_N
PIGO	phosphatidylinositol_glycan_anchor_biosynthesis_class_O
PIGP	phosphatidylinositol_glycan_anchor_biosynthesis_class_P
PIGPP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_P_pseudogene_1
PIGPP2	phosphatidylinositol_glycan_anchor_biosynthesis_class_P_pseudogene_2
PIGPP3	phosphatidylinositol_glycan_anchor_biosynthesis_class_P_pseudogene_3
PIGPP4	phosphatidylinositol_glycan_anchor_biosynthesis_class_P_pseudogene_4
PIGQ	phosphatidylinositol_glycan_anchor_biosynthesis_class_Q
PIGQP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_Q_pseudogene_1
PIGR	polymeric_immunoglobulin_receptor
PIGS	phosphatidylinositol_glycan_anchor_biosynthesis_class_S
PIGT	phosphatidylinositol_glycan_anchor_biosynthesis_class_T
PIGU	phosphatidylinositol_glycan_anchor_biosynthesis_class_U
PIGUP1	phosphatidylinositol_glycan_anchor_biosynthesis_class_U_pseudogene_1
PIGV	phosphatidylinositol_glycan_anchor_biosynthesis_class_V
PIGW	phosphatidylinositol_glycan_anchor_biosynthesis_class_W
PIGX	phosphatidylinositol_glycan_anchor_biosynthesis_class_X
PIGY	phosphatidylinositol_glycan_anchor_biosynthesis_class_Y
PIGZ	phosphatidylinositol_glycan_anchor_biosynthesis_class_Z
PIH1D1	PIH1_domain_containing_1
PIH1D2	PIH1_domain_containing_2
PIH1D3	PIH1_domain_containing_3
PIK3AP1	phosphoinositide-3-kinase_adaptor_protein_1
PIK3C2A	phosphatidylinositol-4-phosphate_3-kinase_catalytic_subunit_type_2_alpha
PIK3C2B	phosphatidylinositol-4-phosphate_3-kinase_catalytic_subunit_type_2_beta
PIK3C2G	phosphatidylinositol-4-phosphate_3-kinase_catalytic_subunit_type_2_gamma
PIK3C3	phosphatidylinositol_3-kinase_catalytic_subunit_type_3
PIK3CA	phosphatidylinositol-4,5-bisphosphate_3-kinase_catalytic_subunit_alpha
PIK3CB	phosphatidylinositol-4,5-bisphosphate_3-kinase_catalytic_subunit_beta
PIK3CD	phosphatidylinositol-4,5-bisphosphate_3-kinase_catalytic_subunit_delta
PIK3CD-AS1	PIK3CD_antisense_RNA_1
PIK3CD-AS2	PIK3CD_antisense_RNA_2
PIK3CG	phosphatidylinositol-4,5-bisphosphate_3-kinase_catalytic_subunit_gamma
PIK3IP1	phosphoinositide-3-kinase_interacting_protein_1
PIK3IP1-AS1	PIK3IP1_antisense_RNA_1_(head_to_head)
PIK3R1	phosphoinositide-3-kinase_regulatory_subunit_1
PIK3R2	phosphoinositide-3-kinase_regulatory_subunit_2
PIK3R3	phosphoinositide-3-kinase_regulatory_subunit_3
PIK3R4	phosphoinositide-3-kinase_regulatory_subunit_4
PIK3R5	phosphoinositide-3-kinase_regulatory_subunit_5
PIK3R6	phosphoinositide-3-kinase_regulatory_subunit_6
PIKFYVE	phosphoinositide_kinase,_FYVE-type_zinc_finger_containing
PILRA	paired_immunoglobin_like_type_2_receptor_alpha
PILRB	paired_immunoglobin-like_type_2_receptor_beta
PIM1	Pim-1_proto-oncogene,_serine/threonine_kinase
PIM2	Pim-2_proto-oncogene,_serine/threonine_kinase
PIM3	Pim-3_proto-oncogene,_serine/threonine_kinase
PIN1	peptidylprolyl_cis/trans_isomerase,_NIMA-interacting_1
PIN1P1	peptidylprolyl_cis/trans_isomerase,_NIMA-interacting_1_pseudogene_1
PIN4	peptidylprolyl_cis/trans_isomerase,_NIMA-interacting_4
PIN4P1	protein_(peptidylprolyl_cis/trans_isomerase)_NIMA-interacting,_4_pseudogene_1
PINK1	PTEN_induced_putative_kinase_1
PINK1-AS	PINK1_antisense_RNA
PINLYP	phospholipase_A2_inhibitor_and_LY6/PLAUR_domain_containing
PINX1	PIN2/TERF1_interacting,_telomerase_inhibitor_1
PIP	prolactin_induced_protein
PIP4K2A	phosphatidylinositol-5-phosphate_4-kinase_type_2_alpha
PIP4K2B	phosphatidylinositol-5-phosphate_4-kinase_type_2_beta
PIP4K2C	phosphatidylinositol-5-phosphate_4-kinase_type_2_gamma
PIP5K1A	phosphatidylinositol-4-phosphate_5-kinase_type_1_alpha
PIP5K1B	phosphatidylinositol-4-phosphate_5-kinase_type_1_beta
PIP5K1C	phosphatidylinositol-4-phosphate_5-kinase_type_1_gamma
PIP5K1P1	phosphatidylinositol-4-phosphate_5-kinase_type_1_pseudogene_1
PIP5K1P2	phosphatidylinositol-4-phosphate_5-kinase_type_1_pseudogene_2
PIP5KL1	phosphatidylinositol-4-phosphate_5-kinase_like_1
PIPOX	pipecolic_acid_and_sarcosine_oxidase
PIPSL	PIP5K1A_and_PSMD4-like,_pseudogene
PIR	pirin
PIRC1	piwi-interacting_RNA_cluster_1
PIRC2	piwi-interacting_RNA_cluster_2
PIRC3	piwi-interacting_RNA_cluster_3
PIRC4	piwi-interacting_RNA_cluster_4
PIRC5	piwi-interacting_RNA_cluster_5
PIRC6	piwi-interacting_RNA_cluster_6
PIRC7	piwi-interacting_RNA_cluster_7
PIRC8	piwi-interacting_RNA_cluster_8
PIRC9	piwi-interacting_RNA_cluster_9
PIRC10	piwi-interacting_RNA_cluster_10
PIRC11	piwi-interacting_RNA_cluster_11
PIRC12	piwi-interacting_RNA_cluster_12
PIRC13	piwi-interacting_RNA_cluster_13
PIRC14	piwi-interacting_RNA_cluster_14
PIRC15	piwi-interacting_RNA_cluster_15
PIRC16	piwi-interacting_RNA_cluster_16
PIRC17	piwi-interacting_RNA_cluster_17
PIRC18	piwi-interacting_RNA_cluster_18
PIRC19	piwi-interacting_RNA_cluster_19
PIRC20	piwi-interacting_RNA_cluster_20
PIRC21	piwi-interacting_RNA_cluster_21
PIRC22	piwi-interacting_RNA_cluster_22
PIRC23	piwi-interacting_RNA_cluster_23
PIRC24	piwi-interacting_RNA_cluster_24
PIRC25	piwi-interacting_RNA_cluster_25
PIRC26	piwi-interacting_RNA_cluster_26
PIRC27	piwi-interacting_RNA_cluster_27
PIRC28	piwi-interacting_RNA_cluster_28
PIRC29	piwi-interacting_RNA_cluster_29
PIRC30	piwi-interacting_RNA_cluster_30
PIRC31	piwi-interacting_RNA_cluster_31
PIRC32	piwi-interacting_RNA_cluster_32
PIRC33	piwi-interacting_RNA_cluster_33
PIRC34	piwi-interacting_RNA_cluster_34
PIRC35	piwi-interacting_RNA_cluster_35
PIRC36	piwi-interacting_RNA_cluster_36
PIRC37	piwi-interacting_RNA_cluster_37
PIRC38	piwi-interacting_RNA_cluster_38
PIRC39	piwi-interacting_RNA_cluster_39
PIRC40	piwi-interacting_RNA_cluster_40
PIRC41	piwi-interacting_RNA_cluster_41
PIRC42	piwi-interacting_RNA_cluster_42
PIRC43	piwi-interacting_RNA_cluster_43
PIRC44	piwi-interacting_RNA_cluster_44
PIRC45	piwi-interacting_RNA_cluster_45
PIRC46	piwi-interacting_RNA_cluster_46
PIRC47	piwi-interacting_RNA_cluster_47
PIRC48	piwi-interacting_RNA_cluster_48
PIRC49	piwi-interacting_RNA_cluster_49
PIRC50	piwi-interacting_RNA_cluster_50
PIRC51	piwi-interacting_RNA_cluster_51
PIRC52	piwi-interacting_RNA_cluster_52
PIRC53	piwi-interacting_RNA_cluster_53
PIRC54	piwi-interacting_RNA_cluster_54
PIRC55	piwi-interacting_RNA_cluster_55
PIRC56	piwi-interacting_RNA_cluster_56
PIRC57	piwi-interacting_RNA_cluster_57
PIRC58	piwi-interacting_RNA_cluster_58
PIRC59	piwi-interacting_RNA_cluster_59
PIRC60	piwi-interacting_RNA_cluster_60
PIRC61	piwi-interacting_RNA_cluster_61
PIRC62	piwi-interacting_RNA_cluster_62
PIRC63	piwi-interacting_RNA_cluster_63
PIRC64	piwi-interacting_RNA_cluster_64
PIRC65	piwi-interacting_RNA_cluster_65
PIRC66	piwi-interacting_RNA_cluster_66
PIRC67	piwi-interacting_RNA_cluster_67
