#fusion	count_of_samples	%ofSamples
RBP4--TMEM176B	1	0.03
RBP4--SERPINF2	1	0.03
RBP4--PLG	1	0.03
RBP4--PDE3A	1	0.03
RBP4--MT1G	1	0.03
RBP4--ITIH3	1	0.03
RBP4--HRG	1	0.03
RBP4--HPX	1	0.03
RBP4--HPD	1	0.03
RBP4--HFM1	1	0.03
RBP4--EPHX1	1	0.03
RBP4--DPP9	1	0.03
RBP4--CSMD1	1	0.03
RBP4--COL18A1	1	0.03
RBP4--CES1	1	0.03
RBP4--A2M	1	0.03
RBP4--A1BG	1	0.03
RBMS3--IGLL5	1	0.03
RBMS3--DYRK1A	1	0.03
RBMS2--CCDC41	1	0.03
RBMS1--TG	1	0.03
RBM6--TG	1	0.03
RBM5--HBB	1	0.03
RBM4B--RBM4B|RBM4	1	0.03
RBM39--TG	1	0.03
RBM39--SEMG1	1	0.03
RBM39--DCN	1	0.03
RBM38--UBB	1	0.03
RBM3--S100A8	1	0.03
RBM25--GPX3	1	0.03
RBM23--TG	1	0.03
RBM19--TG	1	0.03
RBM18|MRRF--RBM18	1	0.03
RBM15B--KRT4	1	0.03
RBM14-RBM4|RBM4|RBM14--TG	1	0.03
RBM14-RBM4|RBM4--FUT10	1	0.03
RBM12B|FAM92A1--MYADM	1	0.03
RBM10|NDUFB11--RBM10	1	0.03
RBM10--TG	1	0.03
RBM10--HBA2	1	0.03
RBL2--AKTIP|RBL2	1	0.03
RBFOX3--MYL9	1	0.03
RBFOX3--DNAJB1	1	0.03
RBFOX2--SMR3B	1	0.03
RBFOX2--SEMG1	1	0.03
RBFOX1--HBB	1	0.03
RBCK1--TG	1	0.03
RBCK1--SFTPA2	1	0.03
RBBP7--B2M	1	0.03
RBBP6--TG	1	0.03
RBBP4--NSUN3	1	0.03
RAVER1--HBA2	1	0.03
RASSF5--HBB	1	0.03
RASSF4--VIM	1	0.03
RASSF4--TG	1	0.03
RASSF4--STIM1	1	0.03
RASSF4--FASN	1	0.03
RASSF4--CXorf36	1	0.03
RASSF4--CLU	1	0.03
RASSF3--FAM129A	1	0.03
RASSF2--HFM1	1	0.03
RASSF1--HBB	1	0.03
RASL12--FLNA	1	0.03
RASGRP2--HBB	1	0.03
RASGRP1--HBB	1	0.03
RASGRF2--TG	1	0.03
RASGRF1--SFTPA1	1	0.03
RASD1--TMED10	1	0.03
RASD1--SEMG1	1	0.03
RASD1--CRP	1	0.03
RASAL3--HBA2	1	0.03
RASAL2--MINOS1|MINOS1-NBL1	1	0.03
RASAL2--MAPKAPK2	1	0.03
RASA2--TRPC1	1	0.03
RASA1--SLC26A4	1	0.03
RARRES2--TG	1	0.03
RARRES2--TF	1	0.03
RARRES2--SERPINA1	1	0.03
RARRES2--DLK1	1	0.03
RARG--TG	1	0.03
RARA--HBA1	1	0.03
RAPGEF3--TG	1	0.03
RAPGEF3--PAX8	1	0.03
RAPGEF3--LAMC1	1	0.03
RAPGEF1--IGFBP5	1	0.03
RAPGEF1--HBA2	1	0.03
RAPGEF1--EEF2	1	0.03
RAP1GAP2--PGA5	1	0.03
RAP1GAP--ZFP36	1	0.03
RAP1GAP--UMOD	1	0.03
RAP1GAP--SRRM2	1	0.03
RAP1GAP--SNRNP70	1	0.03
RAP1GAP--SGSM2	1	0.03
RAP1GAP--PGA5	1	0.03
RAP1GAP--PGA3	1	0.03
RAP1GAP--PDGFRB	1	0.03
RAP1GAP--PCSK7|TAGLN	1	0.03
RAP1GAP--PAX8	1	0.03
RAP1GAP--OGT	1	0.03
RAP1GAP--LTBP2	1	0.03
RAP1GAP--GPX3	1	0.03
RAP1GAP--EEF2	1	0.03
RAP1B--CTR9	1	0.03
RAP1A--HBB	1	0.03
RANGAP1--TG	1	0.03
RANGAP1--MBP	1	0.03
RANGAP1--KRT13	1	0.03
RANGAP1--CRP	1	0.03
RANBP2--RGPD8	1	0.03
RANBP2--RGPD2	1	0.03
RANBP10--SFTPC	1	0.03
RAMP3--TG	1	0.03
RAMP2--TG	1	0.03
RALYL--PRL	1	0.03
RALGPS2--FDPS	1	0.03
RALGPS1|ANGPTL2--TG	1	0.03
RALGDS--TG	1	0.03
RALGDS--PRL	1	0.03
RALGDS--MBP	1	0.03
RALGDS--HBB	1	0.03
RALGDS--ACTA1	1	0.03
RALGAPA2--STATH	1	0.03
RALGAPA2--HTN3	1	0.03
RALBP1--TG	1	0.03
RALA--KRT13	1	0.03
RAI2--SFTPA1	1	0.03
RAI1--TG	1	0.03
RAI1--SFTPC	1	0.03
RAF1--TG	1	0.03
RAF1--HBA2	1	0.03
RAF1--CTSB	1	0.03
RAET1G--RAET1L	1	0.03
RADIL--RPL22	1	0.03
RAD52--TG	1	0.03
RAD51B--SEMG1	1	0.03
RAD23B--KRT13	1	0.03
RAD23A--UMOD	1	0.03
RAD23A--TTN	1	0.03
RAD23A--SEMG1	1	0.03
RAD23A--MYL2	1	0.03
RAD23A--KRT6A	1	0.03
RAD23A--HBA2	1	0.03
RAD23A--DES	1	0.03
RAD23A--DDX46	1	0.03
RAD21--TG	1	0.03
RAD21--KRT13	1	0.03
RAC2--HBA1	1	0.03
RAC1--TG	1	0.03
RAC1--IGFBP5	1	0.03
RABL6--TG	1	0.03
RABL6--SFTPA2	1	0.03
RABL6--SEMG1	1	0.03
RABL6--KRT4	1	0.03
RABL6--KRT13	1	0.03
RABL6--KIAA1984	1	0.03
RABL6--CPA1	1	0.03
RABGAP1--SLC26A7	1	0.03
RABGAP1--ARL14EPL	1	0.03
RABEP1--TG	1	0.03
RAB7A--TMEM99|KRT10	1	0.03
RAB7A--SFTPC	1	0.03
RAB7A--SFTPB	1	0.03
RAB7A--SFTPA2	1	0.03
RAB7A--SEMG2	1	0.03
RAB7A--MUC7	1	0.03
RAB7A--IGFBP4	1	0.03
RAB7A--HBB	1	0.03
RAB7A--GPX3	1	0.03
RAB6C--RAB6A	1	0.03
RAB6A--ATP5J2-PTCD1|CPSF4|PTCD1	1	0.03
RAB5C--TG	1	0.03
RAB5C--SFTPC	1	0.03
RAB5C--SFTPA1	1	0.03
RAB5C--MFGE8	1	0.03
RAB5C--KRT10	1	0.03
RAB5C--HBB	1	0.03
RAB5B--TG	1	0.03
RAB5B--LMOD1	1	0.03
RAB5A--CTGF	1	0.03
RAB4B-EGLN2|EGLN2--SFTPA1	1	0.03
RAB4B-EGLN2|EGLN2--IGFBP5	1	0.03
RAB40C--HBB	1	0.03
RAB3GAP2--TG	1	0.03
RAB3GAP1--TG	1	0.03
RAB3D|TMEM205--DES	1	0.03
RAB3D--RAB3D|TSPAN16	1	0.03
RAB35--HFM1	1	0.03
RAB32--RANBP2	1	0.03
RAB31--HBB	1	0.03
RAB28--SMR3B	1	0.03
RAB24--TG	1	0.03
RAB24--SEMG1	1	0.03
RAB23--BAG2|RAB23	1	0.03
RAB1B--TIMP3|SYN3	1	0.03
RAB1B--RMDN2	1	0.03
RAB1B--PAX8	1	0.03
RAB1B--MYL9	1	0.03
RAB1B--KRT13	1	0.03
RAB1B--ATP1A1	1	0.03
RAB1A--TG	1	0.03
RAB1A--SEMG1	1	0.03
RAB11FIP4--HBB	1	0.03
RAB11FIP3--GPX3	1	0.03
RAB11FIP1--SFTPA1	1	0.03
RAB11FIP1--SEMG2	1	0.03
RAB11B--PXN	1	0.03
RAB11B--HBA2	1	0.03
RAB11B--GPX3	1	0.03
RAB11B--CPA1	1	0.03
RAB10--KRT5	1	0.03
RAB10--KRT4	1	0.03
R3HDM4--HSPB6	1	0.03
R3HDM2--GPX3	1	0.03
R3HCC1L--CUL3	1	0.03
QSOX1--TG	1	0.03
QSOX1--SEMG1	1	0.03
QSOX1--PGA3	1	0.03
QSOX1--PAX8	1	0.03
QSOX1--KRT4	1	0.03
QSOX1--HBB	1	0.03
QSOX1--HBA1	1	0.03
QSOX1--GSTZ1	1	0.03
QSOX1--CTTN	1	0.03
QRICH2--TG	1	0.03
QRICH2--CELA3A	1	0.03
QPRT--GPX3	1	0.03
QPCT--HBB	1	0.03
QKI--TTN	1	0.03
QKI--C14orf166	1	0.03
QARS--TG	1	0.03
QARS--SMR3B	1	0.03
QARS--KRT13	1	0.03
PYROXD2--TG	1	0.03
PYGM--YBX3	1	0.03
PYGM--XIRP2	1	0.03
PYGM--TNNT3	1	0.03
PYGM--TNNI2	1	0.03
PYGM--SOD2	1	0.03
PYGM--PYGB	1	0.03
PYGM--PDLIM3	1	0.03
PYGM--PDK4	1	0.03
PYGM--MYO18A	1	0.03
PYGM--MYL1	1	0.03
PYGM--MYBPC2	1	0.03
PYGM--MUC7	1	0.03
PYGM--MKNK2	1	0.03
PYGM--LCN1	1	0.03
PYGM--KRT6A	1	0.03
PYGM--KRT4	1	0.03
PYGM--KLHL41	1	0.03
PYGM--ITIH4	1	0.03
PYGM--CMYA5	1	0.03
PYGM--CA3	1	0.03
PYGM--BPIFB1	1	0.03
PYGM--ANKRD23|ANKRD39	1	0.03
PYGM--ANKRD1	1	0.03
PYGM--AK1	1	0.03
PYGL--HBB	1	0.03
PYGB|ABHD12--VIM	1	0.03
PYGB|ABHD12--TMEM99|KRT10	1	0.03
PYGB|ABHD12--TG	1	0.03
PYGB|ABHD12--SMR3B	1	0.03
PYGB|ABHD12--NDE1|MYH11	1	0.03
PYGB|ABHD12--KLK3	1	0.03
PYGB|ABHD12--FLNA	1	0.03
PYGB|ABHD12--ACTA2	1	0.03
PYGB--SEMG1	1	0.03
PYGB--PYGM	1	0.03
PYGB--KRT13	1	0.03
PYGB--DDX17	1	0.03
PYCR2--CSRP1	1	0.03
PYCR1--KRT13	1	0.03
PYCARD--HBA2	1	0.03
PXN--SORBS3	1	0.03
PXN--SFTPC	1	0.03
PXN--PAX8	1	0.03
PXN--GNAS	1	0.03
PXN--FLNA	1	0.03
PXDN--SFTPC	1	0.03
PXDC1--TG	1	0.03
PWP1--NDUFC2-KCTD14|THRSP	1	0.03
PVRL2--CD96	1	0.03
PVRL1--SPRR3	1	0.03
PVRL1--KRT5	1	0.03
PVRL1--KRT14	1	0.03
PVRIG|GATS--TG	1	0.03
PVR--AHNAK	1	0.03
PVALB--CHGA	1	0.03
PUM2--ALB	1	0.03
PUM1--NDE1|MYH11	1	0.03
PUF60--TG	1	0.03
PTTG1IP--SFTPA2	1	0.03
PTTG1IP--PAX8	1	0.03
PTTG1IP--KRT13	1	0.03
PTTG1--SGK3|C8orf44-SGK3	1	0.03
PTRF--TPT1	1	0.03
PTRF--TPM2	1	0.03
PTRF--TG|SLA	1	0.03
PTRF--TAGLN	1	0.03
PTRF--SCGB1A1	1	0.03
PTRF--PAX8	1	0.03
PTRF--MYL9	1	0.03
PTRF--MYH11	1	0.03
PTRF--LENG8	1	0.03
PTRF--IGFBP5	1	0.03
PTRF--HIPK2	1	0.03
PTRF--GSN	1	0.03
PTRF--GPX3	1	0.03
PTRF--GANAB	1	0.03
PTRF--FASTK	1	0.03
PTRF--FABP4	1	0.03
PTRF--ELN	1	0.03
PTRF--CALR	1	0.03
PTRF--B2M	1	0.03
PTRF--AGER	1	0.03
PTRF--ACTB	1	0.03
PTPRZ1--SMARCA4	1	0.03
PTPRT--SEMG2	1	0.03
PTPRN2--KLK3	1	0.03
PTPRN2--HBB	1	0.03
PTPRM--SFTPA2	1	0.03
PTPRM--SEMG2	1	0.03
PTPRG--TG	1	0.03
PTPRG--MYBPC1	1	0.03
PTPRG--ID2	1	0.03
PTPRG--HNRNPA2B1	1	0.03
PTPRG--DCN	1	0.03
PTPRF--SMR3B	1	0.03
PTPRF--SFTPB	1	0.03
PTPRF--SFTPA2	1	0.03
PTPRF--PGC	1	0.03
PTPRF--PGA3	1	0.03
PTPRD--SFTPB	1	0.03
PTPRD--SEMG1	1	0.03
PTPRD--KCNIP4	1	0.03
PTPRD--HBB	1	0.03
PTPRC--HBA2	1	0.03
PTPRC--FUS	1	0.03
PTPRB--NPPA	1	0.03
PTPRB--DDR1	1	0.03
PTPRA--TG	1	0.03
PTPN7--HBA1	1	0.03
PTPN3--TG	1	0.03
PTPN23--KRT13	1	0.03
PTPN18--SEMG1	1	0.03
PTPN18--KIAA1522	1	0.03
PTPN18--HBB	1	0.03
PTPN18--HBA2	1	0.03
PTPN13--KRT13	1	0.03
PTPN12--TEKT3	1	0.03
PTPN12--MTSS1	1	0.03
PTPN11--UBXN2B	1	0.03
PTPLAD1--TG	1	0.03
PTP4A3--TG	1	0.03
PTP4A3--CKM	1	0.03
PTP4A3--ACTA1	1	0.03
PTOV1--TG|SLA	1	0.03
PTOV1--SLC25A29	1	0.03
PTOV1--RIOK3	1	0.03
PTOV1--RBFOX2	1	0.03
PTOV1--HBB	1	0.03
PTOV1--HBA2	1	0.03
PTOV1--HBA1	1	0.03
PTOV1--GNAS	1	0.03
PTOV1--FLNA	1	0.03
PTOV1--AES	1	0.03
PTMS--UMOD	1	0.03
PTMS--SRRM2	1	0.03
PTMS--PRSS1	1	0.03
PTMS--PCSK7|TAGLN	1	0.03
PTMS--PAX8	1	0.03
PTMS--ORM1	1	0.03
PTMS--MYL9	1	0.03
PTMS--MUC7	1	0.03
PTMS--IGFBP5	1	0.03
PTMS--HBB	1	0.03
PTMS--GPX3	1	0.03
PTMS--FTL	1	0.03
PTMS--FLNA	1	0.03
PTMS--FGA	1	0.03
PTMS--CYB5R3	1	0.03
PTMS--COL1A1	1	0.03
PTMS--CLU	1	0.03
PTMS--CALR	1	0.03
PTMS--APOA1	1	0.03
PTMS--AMBP	1	0.03
PTMS--ACTG2	1	0.03
PTMS--ACTA2	1	0.03
PTMS--ACPP	1	0.03
PTMA--VEGFA	1	0.03
PTMA--TPM2	1	0.03
PTMA--SFTPA1	1	0.03
PTMA--SEMG1	1	0.03
PTMA--PAX8	1	0.03
PTMA--NDE1|MYH11	1	0.03
PTMA--MUC7	1	0.03
PTMA--MBP	1	0.03
PTMA--HSP90B1	1	0.03
PTMA--CYBRD1	1	0.03
PTMA--ACTA2	1	0.03
PTK6--KRT4	1	0.03
PTK2B--LTF	1	0.03
PTK2B--HBA2	1	0.03
PTK2--SEMG1	1	0.03
PTH--TXNIP	1	0.03
PTH--GCM2	1	0.03
PTH--CHGA	1	0.03
PTH--ATP1B1	1	0.03
PTGS2--TMBIM4	1	0.03
PTGS1--CALD1	1	0.03
PTGR1--ALB	1	0.03
PTGIS--RPS24	1	0.03
PTGES--SEMG1	1	0.03
PTGDS--TSPAN7	1	0.03
PTGDS--TPM1	1	0.03
PTGDS--SEMG1	1	0.03
PTGDS--PLXNB3	1	0.03
PTGDS--PLD3	1	0.03
PTGDS--MYL2	1	0.03
PTGDS--KRT13	1	0.03
PTGDS--GFAP	1	0.03
PTGDS--FLNC	1	0.03
PTGDS--CLU	1	0.03
PTDSS2--REG1A	1	0.03
PTBP3--KRT13	1	0.03
PTBP1--SFTPB	1	0.03
PTBP1--SFTPA2	1	0.03
PTBP1--SEMG2	1	0.03
PTBP1--KRT13	1	0.03
PTBP1--CD81	1	0.03
PTAFR--HBB	1	0.03
PSTPIP2--UTP18	1	0.03
PSTPIP1--HBA1	1	0.03
PSPC1--KRT13	1	0.03
PSORS1C1|PSORS1C2--TMEM99|KRT10	1	0.03
PSORS1C1|CDSN--TMEM99|KRT10	1	0.03
PSORS1C1|CDSN--SBSN	1	0.03
PSORS1C1|CDSN--PTMA	1	0.03
PSORS1C1|CDSN--KRT6B	1	0.03
PSORS1C1|CDSN--KRT6A	1	0.03
PSORS1C1|CDSN--KRT2	1	0.03
PSORS1C1|CDSN--KRT14	1	0.03
PSORS1C1|CDSN--DSP	1	0.03
PSORS1C1|CDSN--CSNK1D	1	0.03
PSORS1C1|CDSN--ASCL2	1	0.03
PSMG3--CDH16	1	0.03
PSMF1--KRT13	1	0.03
PSMF1--AP3S2	1	0.03
PSME3--TG	1	0.03
PSME3--KLK3	1	0.03
PSME2--C4orf45	1	0.03
PSMD8--TG	1	0.03
PSMD3--KRT13	1	0.03
PSMD2--TG	1	0.03
PSMD11--TG	1	0.03
PSMC5--TG	1	0.03
PSMC5--FLOT1	1	0.03
PSMC2|SLC26A5--SMR3B	1	0.03
PSMC2|SLC26A5--PSMC2	1	0.03
PSMC2--PSMC2|SLC26A5	1	0.03
PSMB9--HBB	1	0.03
PSMB7--TMEM99|KRT10	1	0.03
PSMB7--SFTPC	1	0.03
PSMB7--CUL1	1	0.03
PSMB2--ALB	1	0.03
PSMB10--SEMG1	1	0.03
PSMA8--DHFR	1	0.03
PSMA7--HBB	1	0.03
PSMA3--PPP6R3	1	0.03
PSMA3--MMP2	1	0.03
PSMA3--CMPK1	1	0.03
PSMA3--A2M	1	0.03
PSCA--PGA4	1	0.03
PSCA--LIPF	1	0.03
PSCA--KRT19	1	0.03
PSCA--JUN	1	0.03
PSCA--GKN1	1	0.03
PSCA--COL1A1	1	0.03
PSAP--TXNIP	1	0.03
PSAP--TRIO	1	0.03
PSAP--TPT1	1	0.03
PSAP--TNS1	1	0.03
PSAP--TNNT2	1	0.03
PSAP--TMEM99|KRT10	1	0.03
PSAP--TG|SLA	1	0.03
PSAP--TGM4	1	0.03
PSAP--TGM2	1	0.03
PSAP--STATH	1	0.03
PSAP--SRRM2	1	0.03
PSAP--SPP1	1	0.03
PSAP--SPARC	1	0.03
PSAP--SORBS2	1	0.03
PSAP--SNRNP70	1	0.03
PSAP--SERPINA1	1	0.03
PSAP--SCGB1A1	1	0.03
PSAP--SCFD2	1	0.03
PSAP--SASH1	1	0.03
PSAP--S100A9	1	0.03
PSAP--RPLP0	1	0.03
PSAP--REG1A	1	0.03
PSAP--RDH11	1	0.03
PSAP--PNLIP	1	0.03
PSAP--PLEC	1	0.03
PSAP--PDE3A	1	0.03
PSAP--PAX8	1	0.03
PSAP--OGT	1	0.03
PSAP--NXF1	1	0.03
PSAP--NPEPL1	1	0.03
PSAP--NAPSA	1	0.03
PSAP--MYH9	1	0.03
PSAP--MYH7	1	0.03
PSAP--MYH6	1	0.03
PSAP--MYH2	1	0.03
PSAP--MUC6	1	0.03
PSAP--MSMB	1	0.03
PSAP--MMP14	1	0.03
PSAP--MGP	1	0.03
PSAP--LMNA	1	0.03
PSAP--LIPF	1	0.03
PSAP--LENG8	1	0.03
PSAP--KRT2	1	0.03
PSAP--KLF6	1	0.03
PSAP--ITM2B	1	0.03
PSAP--IGFBP7	1	0.03
PSAP--IGFBP5	1	0.03
PSAP--IGFBP4	1	0.03
PSAP--ICAM1	1	0.03
PSAP--HP	1	0.03
PSAP--HLA-DRA	1	0.03
PSAP--HLA-C	1	0.03
PSAP--HLA-B	1	0.03
PSAP--HLA-A	1	0.03
PSAP--GH1	1	0.03
PSAP--FTL	1	0.03
PSAP--FOSB	1	0.03
PSAP--FLII	1	0.03
PSAP--FASN	1	0.03
PSAP--EPCAM	1	0.03
PSAP--EPAS1	1	0.03
PSAP--EGR1	1	0.03
PSAP--EEF1A1	1	0.03
PSAP--CSF3R	1	0.03
PSAP--COL1A2	1	0.03
PSAP--COL1A1	1	0.03
PSAP--CAPZB	1	0.03
PSAP--C3	1	0.03
PSAP--BAP1	1	0.03
PSAP--AZGP1	1	0.03
PSAP--AVP	1	0.03
PSAP--ATP1A1	1	0.03
PSAP--AQP2	1	0.03
PSAP--APOE	1	0.03
PSAP--AHNAK	1	0.03
PSAP--ACTA2	1	0.03
PSAP--A2M	1	0.03
PRX--GSN	1	0.03
PRUNE2--SEMG1	1	0.03
PRUNE2--NDE1|MYH11	1	0.03
PRUNE2--FLNA	1	0.03
PRUNE2--CALD1	1	0.03
PRTN3--HBB	1	0.03
PRSS8--PGA5	1	0.03
PRSS8--KRT13	1	0.03
PRSS3--KRT13	1	0.03
PRSS3--KLK1	1	0.03
PRSS3--EEF2	1	0.03
PRSS27--SPRR3	1	0.03
PRSS27--KRT6A	1	0.03
PRSS22--KRT13	1	0.03
PRSS1--XBP1	1	0.03
PRSS1--TPST2	1	0.03
PRSS1--TPM1	1	0.03
PRSS1--SRPR	1	0.03
PRSS1--SPARCL1	1	0.03
PRSS1--SLC43A1	1	0.03
PRSS1--SLC25A25	1	0.03
PRSS1--RPS6	1	0.03
PRSS1--RPS27A	1	0.03
PRSS1--RPS2	1	0.03
PRSS1--RPS19	1	0.03
PRSS1--RPLP2	1	0.03
PRSS1--RPLP1	1	0.03
PRSS1--RPL8	1	0.03
PRSS1--RPL18	1	0.03
PRSS1--RPL13A	1	0.03
PRSS1--RNASE1	1	0.03
PRSS1--RAB11FIP1	1	0.03
PRSS1--PRSS8	1	0.03
PRSS1--PRSS22	1	0.03
PRSS1--PRKG1	1	0.03
PRSS1--PLXNA2	1	0.03
PRSS1--PLIN5	1	0.03
PRSS1--PID1	1	0.03
PRSS1--PIAS4	1	0.03
PRSS1--PEX6	1	0.03
PRSS1--PDIA3	1	0.03
PRSS1--PDCD4	1	0.03
PRSS1--NDE1|MYH11	1	0.03
PRSS1--MUC1	1	0.03
PRSS1--MT2A	1	0.03
PRSS1--MT1X	1	0.03
PRSS1--MT1G	1	0.03
PRSS1--MKNK1	1	0.03
PRSS1--MBP	1	0.03
PRSS1--MARCH1	1	0.03
PRSS1--LMF2	1	0.03
PRSS1--IQGAP1	1	0.03
PRSS1--IGFBP7	1	0.03
PRSS1--HSPA8	1	0.03
PRSS1--HSPA1B	1	0.03
PRSS1--HPN	1	0.03
PRSS1--HDLBP	1	0.03
PRSS1--HBA1	1	0.03
PRSS1--GNB2L1	1	0.03
PRSS1--GATM	1	0.03
PRSS1--FKBP11	1	0.03
PRSS1--ERRFI1	1	0.03
PRSS1--EP400	1	0.03
PRSS1--EIF1	1	0.03
PRSS1--EFCAB4A	1	0.03
PRSS1--DOPEY2	1	0.03
PRSS1--DDX5	1	0.03
PRSS1--DDIT4	1	0.03
PRSS1--CTDP1	1	0.03
PRSS1--CHGB	1	0.03
PRSS1--CHCHD2	1	0.03
PRSS1--C10orf10|RASSF4	1	0.03
PRSS1--BTG2	1	0.03
PRSS1--BIN1	1	0.03
PRSS1--BHLHE40	1	0.03
PRSS1--ACTB	1	0.03
PRSS1--ACSM1	1	0.03
PRRX1--TG	1	0.03
PRRX1--CTSB	1	0.03
PRRC2C--TG	1	0.03
PRRC2C--KRT13	1	0.03
PRRC2B--SFTPC	1	0.03
PRRC2B--MXD4	1	0.03
PRRC2B--KRT13	1	0.03
PRRC2B--IGFBP5	1	0.03
PRRC2B--CELA3A	1	0.03
PRRC2A--UBE2G2	1	0.03
PRRC2A--TG|SLA	1	0.03
PRRC2A--SMR3B	1	0.03
PRRC2A--SFTPC	1	0.03
PRRC2A--SFTPA1	1	0.03
PRRC2A--SEMG1	1	0.03
PRRC2A--PRR4	1	0.03
PRRC2A--KRT13	1	0.03
PRRC2A--GPX3	1	0.03
PRRC2A--ATHL1	1	0.03
PRR4--ZFP36	1	0.03
PRR4--UBC	1	0.03
PRR4--TRIM29	1	0.03
PRR4--TPT1	1	0.03
PRR4--SPRR3	1	0.03
PRR4--SFN	1	0.03
PRR4--SERPINA3	1	0.03
PRR4--SDC1	1	0.03
PRR4--SCGB3A1	1	0.03
PRR4--S100A8	1	0.03
PRR4--S100A6	1	0.03
PRR4--S100A14	1	0.03
PRR4--RPL4	1	0.03
PRR4--RPL3	1	0.03
PRR4--RHCG	1	0.03
PRR4--PRRC2A	1	0.03
PRR4--PRB4	1	0.03
PRR4--PLEC	1	0.03
PRR4--PKM	1	0.03
PRR4--PIGR	1	0.03
PRR4--PERP	1	0.03
PRR4--P4HB	1	0.03
PRR4--NEB	1	0.03
PRR4--MYL6	1	0.03
PRR4--MYL2	1	0.03
PRR4--MYH7	1	0.03
PRR4--LCN1	1	0.03
PRR4--KRT7	1	0.03
PRR4--KRT19	1	0.03
PRR4--KRT14	1	0.03
PRR4--JUNB	1	0.03
PRR4--HTN3	1	0.03
PRR4--HTN1	1	0.03
PRR4--HSPB1	1	0.03
PRR4--HLA-E	1	0.03
PRR4--HLA-B	1	0.03
PRR4--GAPDH	1	0.03
PRR4--FOS	1	0.03
PRR4--FASN	1	0.03
PRR4--EMP1	1	0.03
PRR4--ELF3	1	0.03
PRR4--EEF1G	1	0.03
PRR4--EEF1A1	1	0.03
PRR4--DSP	1	0.03
PRR4--DSG3	1	0.03
PRR4--DSC3	1	0.03
PRR4--DMBT1	1	0.03
PRR4--CLDN4	1	0.03
PRR4--CKM	1	0.03
PRR4--CEACAM5	1	0.03
PRR4--CD74	1	0.03
PRR4--BTG2	1	0.03
PRR4--BHLHE40	1	0.03
PRR4--B2M	1	0.03
PRR4--ATP6V0C	1	0.03
PRR4--AQP3	1	0.03
PRR4--ALDH3A1	1	0.03
PRR4--AHNAK	1	0.03
PRR4--ACTG1	1	0.03
PRR4--ACTB	1	0.03
PRR4--ACTA1	1	0.03
PRR16--HSD17B4	1	0.03
PRPF8--SRRM2	1	0.03
PRPF8--SFTPA1	1	0.03
PRPF8--SEMG1	1	0.03
PRPF8--PRKCSH	1	0.03
PRPF8--KRT13	1	0.03
PRPF6|ZNF512B--SFTPC	1	0.03
PRPF6|ZNF512B--KRT4	1	0.03
PRPF6|ZNF512B--GPX3	1	0.03
PRPF4B--TG	1	0.03
PRPF39--FAM179B	1	0.03
PRPF3--TG	1	0.03
PROSC--CHMP1A	1	0.03
PROK2--LRMP	1	0.03
PROK2--HBA2	1	0.03
PRODH--TG	1	0.03
PRODH--GCN1L1	1	0.03
PRNP--FLNA	1	0.03
PRMT2--TG	1	0.03
PRMT1--TG	1	0.03
PRMT1--HBA2	1	0.03
PRM2--GPX4	1	0.03
PRLR--SEMG2	1	0.03
PRL--ZZEF1	1	0.03
PRL--ZFYVE28	1	0.03
PRL--ZC3H11A	1	0.03
PRL--WDR6	1	0.03
PRL--TIMP1|SYN1	1	0.03
PRL--SLC22A17	1	0.03
PRL--RPS6	1	0.03
PRL--RPLP0	1	0.03
PRL--RPL10A	1	0.03
PRL--PLD3	1	0.03
PRL--PICK1	1	0.03
PRL--PHKA2	1	0.03
PRL--NPDC1	1	0.03
PRL--LHB	1	0.03
PRL--LENG8	1	0.03
PRL--IGSF1	1	0.03
PRL--GNB2L1	1	0.03
PRL--GAPDH	1	0.03
PRL--CNOT3	1	0.03
PRL--CACNA1H	1	0.03
PRL--BEX1	1	0.03
PRL--ATP1A1	1	0.03
PRL--ATN1	1	0.03
PRL--ATF6B	1	0.03
PRKRIR--IL7	1	0.03
PRKDC--TG	1	0.03
PRKD3--ELAVL3	1	0.03
PRKD2--HBA2	1	0.03
PRKCZ--SFTPC	1	0.03
PRKCZ--MBP	1	0.03
PRKCZ--KLK3	1	0.03
PRKCSH--SFTPA2	1	0.03
PRKCSH--SFTPA1	1	0.03
PRKCSH--PGC	1	0.03
PRKCSH--PAX8	1	0.03
PRKCSH--NDE1|MYH11	1	0.03
PRKCSH--KRT13	1	0.03
PRKCSH--CPA1	1	0.03
PRKCH--TG	1	0.03
PRKCD--SEMG2	1	0.03
PRKCD--HBA1	1	0.03
PRKCB--HBA2	1	0.03
PRKCA--UMOD	1	0.03
PRKAR2B--ELOVL2	1	0.03
PRKAR1B--KRT13	1	0.03
PRKAR1A--SFTPC	1	0.03
PRKAR1A--SEMG1	1	0.03
PRKAR1A--DUSP1	1	0.03
PRKAR1A--B2M	1	0.03
PRKAG2--SEMG2	1	0.03
PRKAG2--KRT6A	1	0.03
PRKACA--TG	1	0.03
PRH2--ZG16B	1	0.03
PRH2--XBP1	1	0.03
PRH2--TRPM4	1	0.03
PRH2--TPT1	1	0.03
PRH2--TPD52L2	1	0.03
PRH2--STATH	1	0.03
PRH2--SPRR3	1	0.03
PRH2--SMR3A	1	0.03
PRH2--SERF2	1	0.03
PRH2--SDC1	1	0.03
PRH2--SBSN	1	0.03
PRH2--RRBP1	1	0.03
PRH2--RPL13A	1	0.03
