HgeneSymbol	TgeneSymbol	diseaseName	pubmedIds
DDIT3	FUS	soft tissue liposarcomas	15286712
DDIT3	FUS	myxoid liposarcomas	7987849
DDIT3	FUS	"acute leukemias, malignant solid tumors"	8058726
BIRC3	MALT1	Mucosaassociated lymphoid tissue (MALT) lymphoma	15894263
BIRC3	MALT1	MALT lymphoma	10760689
CIC	DUX4	Ewinglike soft tissue sarcoma	17361217
CLTC	ALK	Inflammatory myofibroblastic tumour	17361217
CLTC	TFE3	Kidney carcinoma	17361217
COL12A1	COL4A5	subungual exostosis	16284948
COL1A1	PDGFB		19016705
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	18253748
COL1A1	PDGFB	Atrophic dermatofibrosarcoma protuberans	18005119
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	17890911
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	17478383
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DP)	17337387
COL1A1	PDGFB	dermatofibrosarcoma protuberans (DFSP)	17310000
COL1A1	PDGFB	dermatofibrosarcoma protuberans	16980946
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	16956568
COL1A1	PDGFB	dermatofibrosarcoma protuberans (DFSP)	16731589
COL1A1	PDGFB	Dermatofibrosarcoma	12661001
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	11435686
COL1A1	PDGFB	dermatofibrosarcoma protuberans (DFSP)	10565681
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	10072161
COL1A1	PDGFB		17361217
COL1A1	PDGFB	Dermatofibrosarcoma protuberans	14633610
COL1A1	PDGFB	Dermatofibrosarcoma protuberans (DFSP)	17509258
COL1A1	USP6	Aneurysmal bone cyst (ABC)	18068538
COL1A1	USP6		17361217
COL6A3	CSF1	Tenosynovial giant cell tumors (TGCTs)	17918257
COL6A3	CSF1		17361217
CRTC1	MAML2	"Warthin's tumor, mucoepidermoid carcinoma"	18181164
CRTC1	MAML2		17361217
CTNNB1	PLAG1		17361217
CXORF15	SYAP1	MCF7	17568001
CCND1	CDK2	breast cancer	15355984
CCND1	CDK4	etiology of cancer	10597234
CYP1A1	CAT		7883754
DEK	NUP214	acute myeloid leukemia(AML)	16638187
DEK	NUP214	acute myeloid leukemia 	14506699
DEK	NUP214	acute myelogenous leukemia	12483538
DEK	NUP214	acute myelogenous leukemia	9050861
DEK	NUP214	acute nonlymphocytic leukemia	8294483
DEK	NUP214	acute nonlymphocytic leukaemia	1308167
DEK	NUP214	Acute myelogenous leukemia (AML)	18976025
DEK	NUP214	Acute myelogenous leukemia (AML)	18976025
DEK	NUP214	acute myeloid leukemia (AML)	18181180
DEK	NUP214		17361217
TCF3	HLF		19065654
TCF3	HLF	acute lymphoblastic leukemia	15070701
TCF3	HLF	"acute lymphoblastic leukemia(AML), preB ALL"	12111652
TCF3	HLF	leukemia 	11486032
TCF3	HLF	acute lymphoblastic leukemia(ALL)	10216071
TCF3	HLF	hepatic leukemia factor (HLF)	8164688
TCF3	PBX1	acute lymphoblastic leukemia	16914730
TCF3	PBX1	acute lymphoblastic leukemia (ALL)	16800933
TCF3	PBX1	preB acute lymphoblastic leukemia (ALL)	16769578
TCF3	PBX1	acute lymphoblastoid leukemia (ALL)	16007226
TCF3	PBX1	acute leukemia	15507449
TCF3	PBX1	acute lymphoblastic leukemia	14559953
TCF3	PBX1	severalleukaemia	11843816
TCF3	PBX1	Acute lymphoblastic leukaemia(ALL)	11472352
TCF3	PBX1	preB acute lymphoblastoid leukemias (ALL)	10500199
TCF3	PBX1	pediatric preB cell leukemia	10471746
TCF3	PBX1	childhood preBcell acute lymphoblastic leukemia(ALL)	9494609
TCF3	PBX1	acute lymphoblastic leukemia	9108411
TCF3	PBX1	acute lymphoblastic leukaemias (ALL)	8757523
TCF3	PBX1	acute lymphoblastic leukemia (ALL)	7643619
TCF3	PBX1	acute lymphoblastic leukemia (ALL)	7769844
TCF3	PBX1	acute lymphoblastic eukemia/lymphoma	7522039
TCF3	PBX1	acute lymphoblastic leukemias	8183558
TCF3	PBX1	childhood preB acute lymphoblastic leukemia (ALL)	8152250
TCF3	PBX1	lymphoma	8104101
TCF3	PBX1	acute lymphoblastic leukemia	8103813
TCF3	PBX1	preBcell acute lymphoblastic leukemia	8327485
TCF3	PBX1	leukemia	8483891
TCF3	PBX1	"preBcell acute lymphocytic leukemia, acute myeloid leukemia"	8093327
TCF3	PBX1	Bcell precursor acute lymphoblastic leukemia	1348433
SNORA63	LAPTM5	human multiple myeloma	12886255
SH3GL1	MLL	leukemia	9122235
EIF4E2	HJURP		19136943
EML1	ABL1	Tcell acute lymphoblastic leukemia	15713800
EML4	ALK	lung cancers	19170230
EML4	ALK	lung cancer	19032370
EML4	ALK	nonsmall cell lung cancers (NSCLC)	18594010
EML4	ALK	nonsmallcell lung cancers (NSCLC)	18593892
EML4	ALK	nonsmallcell lung cancer (NSCLC)	18414414
EML4	ALK	nonsmallcell lung cancer (NSCLC)	17625570
EPC1	PHF1	Endometrial stromal sarcoma	17361217
RUNX1T1	RUNX1	acute myeloid leukemia (AML)	15333839
RUNX1T1	RUNX1	acute myeloid leukemia(AML)	11681427
ETS1	IGH@	Bcell lymphoma	2143098
ETV6	ABL1	"erroneousdiagnosis of Philadelphiapositive chronic myeloid leukemia, acute myeloid leukemia"	11964320
ETV6	ABL1	chronic myeloid leukaemia	12823349
ETV6	RUNX1		14559688
ETV6	RUNX1	Blineage acute lymphoblastic leukaemias (ALL)	11167742
ETV6	RUNX1	B cell acute lymphoblastic leukemia (ALL)	10914546
ETV6	RUNX1	pediatric Bcell precursor acute lymphoblastic leukemia	9864173
ETV6	RUNX1	childhood acute lymphoblastic leukemia	9664088
ETV6	RUNX1	acute lymphoblastic leukaemia	9233592
ETV6	RERE	ABL oncogenes	12080468
ETV6	RUNX1	"TEL/AML2positive leukemia, acute lymphoblastic leukemia (ALL)"	12042710
ETV6	RUNX1	Bcell precursor acute lymphoblastic leukemia	8913730
ETV6	RUNX1	acute lymphoblastic leukemias in children	11675129
ETV6	CDX2	acute myeloid leukemia	14718672
ETV6	MNX1	infant leukemia	12939747
ETV6	MECOM	myeloproliferative disorder	9044825
ETV6	NCOA2	acute leukemia	18281529
ETV6	NTRK3	Secretory breast carcinoma	19011601
ETV6	NTRK3	"Secretory carcinomas (SBC), invasive ductal carcinoma"	16888913
ETV6	NTRK3	certain pediatric tumor	16647957
ETV6	NTRK3	secretory breast carcinoma	15101049
ETV6	NTRK3	Secretory carcinomas	14691916
ETV6	NTRK3	congenital fibrosarcoma	12594387
ETV6	NTRK3	secretory breast cancer	12450787
ETV6	NTRK3	soft tissue tumours 	12210087
ETV6	NTRK3	congenital mesoblastic nephromas (CMNs)	12165445
ETV6	NTRK3	"Congenital fibrosarcoma (CFS), adulttype fibrosarcoma (ATFS)"	10895816
ETV6	NTRK3	myelodysplastic syndrome (MDS)	10867145
ETV6	NTRK3	"AML, Mesoblastic nephroma"	17361217
ETV6	PDGFRB	chronic myelomonocytic leukemia	17574967
ETV6	PDGFRB	Atypical chronic myelogenous leukemia	15036944
ETV6	RUNX1	acute lymphoblastic leukaemia (ALL)	18557744
ETV6	RUNX1	acute lymphoblastic leukemia (ALL)	18181181
ETV6	RUNX1	acute lymphoblastic leukaemia (ALL)	16965388
ETV6	RUNX1	Bcell precursor acute lymphoblastic leukemia	16157196
ETV6	RUNX1	acute lymphoblastic leukemia	15193447
ETV6	RUNX1	acute leukemia	14978794
ETV6	RUNX1	"Bcell precursor acute lymphoblastic leukaemia in children, good prognosis"	17361217
EWSR1	WT1	desmoplastic small round cell tumour (DSRCT)	9147076
EWSR1	GDNF		18408594
EWSR1	GDNF	Clear cell sarcoma (CCS)	16766266
EWSR1	GDNF	Clear cell sarcoma	16517477
EWSR1	GDNF	human clear cell sarcoma	12237889
EWSR1	GDNF	Clear cell sarcoma (CCS)	11992546
EWSR1	GDNF	malignant melanoma	10766345
EWSR1	GDNF	Cell sarcoma	10574952
EWSR1	GDNF		11709699
EWSR1	GDNF	"genital discharge and lower back pain,cell melanoma"	11263942
EWSR1	GDNF	malignant melanoma	9160316
EWSR1	GDNF	malignant melanoma 	8552387
EWSR1	GDNF	clear cell sarcoma (CCS)	10849331
EWSR1	CHN1	Extraskeletal myxoid chondrosarcoma (EMCS)	11981607
EWSR1	CHN1	Extraskeletal myxoid chondrosarcoma (EMCS)	11679947
EWSR1	DDIT3	myxoid/round cell liposarcomas (MLS/RCLS)	12169678
EWSR1	ERG	Ewing sarcoma family of tumors (ESFT)	18459906
EWSR1	ERG	Ewing sarcoma	18295659
EWSR1	ERG	haematopoietic tumour	15974803
EWSR1	ERG	Intraabdominal desmoplastic small round cell tumor	9706984
EWSR1	ERG	Ewing sarcoma	9071576
EWSR1	ERG	Ewing's tumor	8707406
EWSR1	ERG		18648005
EWSR1	FEV	Ewing's sarcoma(ES)	10976720
EWSR1	FLII	Ewing's sarcoma	18927503
EWSR1	FLII	Ewing sarcoma	19273933
EWSR1	FLII	Ewing sarcoma family of tumors (ESFT)	19189974
EWSR1	FLII	Ewing sarcoma family of tumors (ESFT	19144156
EWSR1	FLII	Ewing sarcoma and primitive neuroectodermal tumor	19074838
EWSR1	FLII	Ewing sarcoma family of tumors (ESFT)	18971581
EWSR1	FLII	Ewing's family tumors (EFTs)	18838963
EWSR1	FLII	Ewing sarcoma	18623202
EWSR1	FLII	Ewing's sarcoma/primitive neuroectodermal tumor (EWS/PNET)	18622580
EWSR1	FLII	primary renal primitive neuroectodermal tumor (PNET)	18404886
EWSR1	FLII	Ewing sarcoma family of tumors (ESFT)	17762498
EWSR1	FLII	Ewing's sarcoma	17163154
EWSR1	FLII	Ewing's sarcoma family tumors (ESFT)	17047047
EWSR1	FLII	Ewing's sarcoma	17016721
EWSR1	FLII	primitive neuroectodermal tumor	16990715
EWSR1	FLII	Ewing's sarcoma	16865286
EWSR1	FLII	Ewing's sarcoma	16764539
EWSR1	FLII	Ewing's sarcoma family of tumors (ESFT)	16740692
EWSR1	FLII	Ewing sarcoma/peripheral primitive neuroectodermal tumors (pPNET family)	16639307
EWSR1	FLII	Ewing family tumors (EFT)	16424012
EWSR1	FLII	Ewing tumor	16217257
EWSR1	FLII	Ewing sarcoma family of tumours (ESFT)	16083345
EWSR1	FLII	Ewing's sarcoma	16052075
EWSR1	FLII	Ewing's family tumors (EFT)	15930281
EWSR1	FLII	Ewing sarcoma	15919668
EWSR1	FLII	Ewing's family tumors (EFTs)	15818598
EWSR1	FLII	Ewing tumors	15748890
EWSR1	FLII	Ewing's tumors and rhabdomyosarcomas	15342383
EWSR1	FLII	Ewing's family tumors	14871979
EWSR1	FLII	Ewing's sarcoma	14563122
EWSR1	FLII	Primitive neuroectodermal tumors (PNET)	11304041
EWSR1	FLII	tumours of the Ewing family (ET)	11259090
EWSR1	FLII	Ewing's sarcoma family tumors (EFT)	11140696
EWSR1	FLII	Ewing's sarcoma(ES)	10980604
EWSR1	FLII	Ewing's sarcoma(ES)	10975680
EWSR1	FLII	Ewing's sarcoma(ES)	10951341
EWSR1	FLII	"giantcell tumor, mesenchymal tumors"	10897036
EWSR1	FLII	Ewing sarcoma family of tumors (ESFT)	10888417
EWSR1	FLII	"Ewing's sarcoma, peripheral neuroectodermal tumor"	10782405
EWSR1	FLII	"breast tumor,Ewing family of tumors (EFT)"	10565682
EWSR1	FLII	"primary primitive neuroectodermal tumor (PNET), Ewing's sarcoma (ES)"	10563198
EWSR1	FLII	Ewing's sarcoma	10197607
EWSR1	FLII	"Ewing's sarcoma, primitive neuroectodermal tumor"	9798675
EWSR1	FLII	Ewing family of tumors (ET)	9704926
EWSR1	FLII	"Ewing's sarcoma, primitive neuroectodermal tumor"	9005992
EWSR1	FLII	Ewing's sarcoma	9000139
EWSR1	FLII	"Ewing's sarcoma (ES), small round cell tumors (SRCTs) "	9025840
EWSR1	FLII	Ewing's sarcoma/peripheral primitive neuroectodermal tumor	7493136
EWSR1	FLII	Ewing's sarcoma/peripheral primitive neuroectodermal tumor	7544579
EWSR1	FLII	Ewing's sarcoma	7636623
EWSR1	FLII	nodular mesothelial hyperplasia	8542501
EWSR1	FLII	Ewing's sarcoma	7882340
EWSR1	FLII	Ewing family of tumors	8084618
EWSR1	FLII	Ewing's sarcoma (ES)	8076344
EWSR1	FLII	Ewing sarcoma	8516324
EWSR1	FLII	Ewing's tumour	18485618
EWSR1	FLII	Ewing's sarcoma family tumors (ESFT)	18381423
EWSR1	FLII	Ewing's family tumors (ESFT)	17250957
EWSR1	FLII	Ewing sarcoma	16394125
EWSR1	FLII	Ewing's sarcoma	16357154
EWSR1	FLII	neuroectodermal tumor	15618851
EWSR1	FLII	Ewing's sarcoma/peripheral neuroectodermal tumors	15492248
EWSR1	FLII	Ewing tumors 	15282325
EWSR1	FLII	Ewing's family tumors	15273724
EWSR1	FLII	Ewing's sarcoma	15183454
EWSR1	FLII	"Ewing sarcoma,peripheral primitive neuroectodermal tumors"	14973077
EWSR1	FLII	Ewing sarcomas (ES)	11890993
EWSR1	FLII	Primary neuroectodermal tumor (PNET)	11852516
EWSR1	FLII	Ewing's sarcoma	11776597
EWSR1	FLII	Ewing's tumor	11431376
EWSR1	FLII	Ewing's sarcoma and primitive neuroectodermal tumor (PNET)	11118299
EWSR1	FLII	Ewing's sarcoma and primitive neuroectodermal tumor (PNET)	11117787
EWSR1	FLII	Ewing's sarcoma and primitive neuroectodermal tumour (PNET)	10638960
EWSR1	FLII	Ewing sarcoma	10030577
EWSR1	FLII	Ewing's sarcoma	9882513
EWSR1	FLII	peripheral primitive neuroectodermal tumor (pPNET)	9808135
EWSR1	FLII	"Ewing sarcoma, primitive neuroectodermal tumor"	9488465
EWSR1	FLII	Peripheral primitive neuroectodermal tumour (pPNET	9463579
EWSR1	FLII	Ewing sarcoma (ES)	8164678
EWSR1	FLII	Ewing sarcoma	7503813
EWSR1	FLII	Ewing sarcoma	8307570
EWSR1	FLII	Ewing's sarcoma	8246959
EWSR1	FLII	Ewing family of tumours	8223458
EWSR1	FLII	Ewing's sarcoma	8238248
EWSR1	OSCP1	extraskeletal myxoid chondrosarcoma	18680143
EWSR1	OSCP1	extraskeletal myxoid chondrosarcoma (EMC)	16112421
EWSR1	OSCP1	extraskeletal myxoid chondrosarcoma (EMC) tumors	15212958
EWSR1	OSCP1	extraskeletal myxoid chondrosarcoma	11673470
EWSR1	TEC	human chondrosarcoma tumors	12049818
EWSR1	TEC	extraskeletal myxoid chondrosarcoma	10359536
EWSR1	TEC	extraskeletal myxoid chondrosarcoma	9037350
EWSR1	TEC	extraskeletal myxoid chondrosarcoma (EMC)	8634690
EWSR1	WT1	small round cell tumor	18561179
EWSR1	WT1	Desmoplastic small round cell tumor (DSRCT)	17964965
EWSR1	WT1	desmoplastic small cell tumors	16930335
EWSR1	WT1	Desmoplastic small round cell tumor (DSRCT)	16730884
EWSR1	WT1	desmoplastic small round cell tumor (DSRCT)	16536278
EWSR1	WT1	desmoplastic small round cell tumor (DSRCT)	15968330
EWSR1	WT1	desmoplastic small round cell tumors	15389255
EWSR1	WT1	desmoplastic small round cell tumor	14648792
EWSR1	WT1	Ewing's sarcoma	14633590
EWSR1	WT1	Desmoplastic small round cell tumor (DSRCT)	10999739
EWSR1	WT1	Desmoplastic Small Round Cell Tumor (DSRCT)	10843285
EWSR1	WT1	Desmoplastic Small Round Cell Tumor (DSRCT)	10838070
EWSR1	WT1	Desmoplastic small round cell tumor (DSRCT)	10208465
EWSR1	WT1	desmoplastic small round cell tumor(DSRCT)	9949226
EWSR1	WT1	desmoplastic small round cell tumor (DSRCT)	9797782
EWSR1	WT1	Desmoplastic small roundcell tumour (DSRT)	9354795
EWSR1	WT1	desmoplastic small round cell tumor (DSRCT)	9071577
EWSR1	WT1	Desmoplastic Small Round Cell Tumor (DSRCT)	8604806
EWSR1	WT1	Ewing sarcoma (EWS) and Wilms tumor (WT1)	7862627
EWSR1	WT1	Desmoplastic small round cell tumor (DSRCT)	16429445
EWSR1	GDNF	clear cell sarcoma	17075294
EWSR1	GDNF	Clear cell sarcoma	16867224
EWSR1	GDNF	angiomatoid fibrous histiocytoma	15884099
EWSR1	GDNF	Angiomatoid fibrous histiocytoma	17361217
EWSR1	DDIT3	"Liposarcoma, myxoid"	17361217
EWSR1	ERG	Desmoplastic small roundcell tumour	17361217
EWSR1	ETV1	Ewing sarcoma or primitive neuroectodermal tumour	17361217
EWSR1	ETV4	Ewing sarcoma	9858836
EWSR1	ETV4	Ewing sarcoma or primitive neuroectodermal tumour	17361217
EWSR1	ETS1	Ewing's sarcoma	1522903
EWSR1	FEV	Ewing sarcoma or primitive neuroectodermal tumour	17361217
EWSR1	FLII	"Ewing sarcoma, mainly in children and adolescents and mainly skeletal"	17361217
EWSR1	FLII	Ewing family of tumours (EFTs)	17557870
EWSR1	NR4A3	Soft tissue chondrosarcoma with abundant myxoid matrix in adults	17361217
EWSR1	PBX1	myoepithelioma	18383210
EWSR1	POU5F1	"Bone sarcoma, undifferentiated"	17361217
EWSR1	WT1	"Desmoplastic small round cell tumour, usually intraabdominal,mainly in children and young adults with a striking male predominance, poor prognosis"""	17361217
EWSR1	PATZ1	Ewing sarcoma or primitive neuroectodermal tumour	17361217
FBXL20	BCAS3	MCF7	17568001
FGFR1	ZMYM2	"leukaemia, lymphoma"	9425908
FGFR3	ETV6	peripheral Tcell lymphoma (PTCL)	11731410
FGFR3	IGH@	multiple myelomas (MM)	11429702
FIP1L1	PDGFRA	Chronic eosinophilic leukemia (CEL)	19212337
FIP1L1	PDGFRA	eosinophiliaassociated myeloproliferative neoplasms	18987651
FIP1L1	PDGFRA	idiopathic hypereosinophilia	18843283
FIP1L1	PDGFRA	chronic eosinophilic leukemia	18028420
FIP1L1	PDGFRA	chronic myeloid leukemia (CML)	17938925
FIP1L1	PDGFRA	eosinophiliaassociated myeloproliferative disorders (EosMPD)	17377585
FIP1L1	PDGFRA	Systemic mastocytosis (SM)	16781490
FIP1L1	PDGFRA		16720555
FIP1L1	PDGFRA	"idiopathic hypereosinophilic syndrome, chronic eosinophilic leukemia"	15307112
FIP1L1	PDGFRA	Idiopathic hypereosinophilic syndrome  and chronic eosinophilia leukemia	14757533
FIP1L1	PDGFRA	hypereosinophilic syndrome	17361217
FIP1L1	PDGFRA	Chronic eosinophilic leukemia	16513534
FIP1L1	PDGFRA	acute myeloid leukemia (AML)	16343267
FIP1L1	PDGFRA	Hypereosinophilic syndrome	15175999
FIP1L1	RARA	acute promyelocytic leukemia	18603554
FIP1L1	PDGFRA		18309036
FUS	GDNF	Angiomatoid fibrous histiocytoma	17361217
FUS	GDNF	angiomatoid fibrous histiocytoma	11063792
FUS	DDIT3	myxoid/round cell liposarcomas (MRCLs)	15796878
FUS	DDIT3	myxoid liposarcoma	11896599
FUS	DDIT3	liposarcomas	10828883
FUS	DDIT3	Myxoid liposarcoma	10347549
FUS	DDIT3	myxoid and round cell liposarcoma	9785008
FUS	DDIT3	myxoid and round cell liposarcoma	9676855
FUS	DDIT3	myxoid liposarcoma	9244875
FUS	DDIT3	myxoid liposarcoma	8921363
FUS	DDIT3	malignant fibrous histiocytoma (MFH)	8523819
FUS	DDIT3	Ewing's sarcoma	7485386
FUS	CREB3L1	Lowgrade fibromyxoid sarcoma (LGFMS)	15640831
FUS	CREB3L1	"Fibromyxoid sarcoma, low grade"	17361217
FUS	CREB3L2	lowgrade fibromyxoid sarcoma (LGFMS)	18382348
FUS	CREB3L2		16948525
FUS	CREB3L2	lowgrade fibromyxoid sarcoma (LGFMS)	16931951
FUS	CREB3L2	Lowgrade malignant fibromyxoid soft tissue sarcoma	17361217
FUS	DDIT3		18850010
FUS	DDIT3	liposarcoma	18596980
FUS	DDIT3	liposarcoma	17468515
FUS	DDIT3	Myxoid/round cell liposarcoma (MLS/RCLS)	16651630
FUS	DDIT3	liposarcomas	15826835
FUS	DDIT3	myxoid liposarcoma	15201968
FUS	DDIT3	"Liposarcoma, myxoid"	17361217
FUS	ERG	acute lymphoblastic leukemia	16263589
FUS	ERG	Ewing's tumors	12907633
FUS	ERG	acute myeloid leukemia	9242552
FUS	ERG	Ewing sarcoma or primitive neuroectodermal tumour	17361217
GAS5	BCL6	Bcell lymphoma	18406879
GOPC	ROS1	astrocytoma	17361217
GPHN	MLL	acute undifferentiated leukemia	11579461
HIST1H4F	BCL6	Bcell nonHodgkin's lymphoma	12414651
HAS2	PLAG1	lipoblastoma	17361217
HJURP	EIF4E2		19136943
HJURP	EIF4E2	"VCaP, VCaPMet"	18438408
HJURP	INPP4A		19136943
HLF	TCF3	human acute Blineage leukemia	1386162
HMGA2	LPP	lipoma	18551755
HMGA2	LPP	parosteal lipomas	16821597
HMGA2	LPP	Intrapatellar tendon lipoma	16567472
HMGA2	LPP	lipoma	16375854
HMGA2	LHFP	mesenchymal tumor	11890997
HMGA2	LPP	pulmonary chondroid hamartomas (PCHs)	11066083
HMGA2	LPP	lipoma	9598796
HNRNPA2B1	ETV1		17671502
HNRNPA2B1	ETV1		18172298
HOXA9	NUP98	"acute myeloid leukemia(AML), chronic myelogenous leukemia"	12112533
HOXA9	NUP98	human myeloid leukaemia	8563753
MLL	MLLT1		9129043
TERT	IL18		18226991
IGH@	BCL11A	Bcell chronic lymphocytic leukemia (CLL)	11719382
IGH@	BCL2	follicular lymphoma	7682098
IGH@	BCL2		17361217
IGH@	BCL2	follicular lymphoma	11950920
IGH@	BCL2	primary cutaneous Bcell lymphoma (PCBCL)	11298531
IGH@	BCL2	follicular lymphoma	10828038
IGH@	BCL2	follicular lymphoma	10825742
IGH@	BCL2	follicular lymphomas	8691332
IGH@	BCL2	follicular lymphoma	8732340
IGH@	BCL2	atypical endometrial hyperplasia and adenocarcinoma	8729985
IGH@	BCL2	acute lymphoblastic leukemia (ALL)	8602624
IGH@	BCL2	nonHodgkin's lymphoma	8622046
IGH@	BCL2		7950908
IGH@	BCL2	lymphoma	7630186
IGH@	BCL2	Bcell lymphomas	7734714
IGH@	BCL2	germline salivary gland lymphomas	2252103
IGH@	CCND1	mantle cell lymphoma	17213026
IGH@	CCND1	"mantle cell lymphoma (MCL), atypical chronic lymphocytic leukemia (CLL)"	9739021
IGH@	CCND1		17361217
IGH@	IRF4	Bcell chronic lymphocytic leukemia (BCLL)//small lymphocytic lymphoma (SLL)	12079517
IGH@	MAF	"Multiple myeloma, poor prognosis"	17361217
IGH@	WHSC1	multiple myeloma (MM)	18036184
IGH@	WHSC1	human myeloma	15257719
IGH@	WHSC1	myeloma	14690579
IGH@	WHSC1	multiple myeloma (MM)	10945609
IGH@	MYC		15852472
IGH@	MYC		17671502
IGH@	MYC	"Burkitt lymphoma/leukaemia, highly aggressive but good prognosis with intensive chemotherapy treatment"	17361217
IGH@	TRG@	acute lymphoblastic leukaemia (ALL)	19016726
IGH@	BCL2	nonHodgkin's lymphoma	1747446
IL18	EGF		16120577
IL2	TNF	breast tumor	11775545
IL3	IGH@	 Blineage acute lymphocytic leukemia	2114933
INPP4A	HJURP	"VCaP, VCaPMet"	18438408
TBL1XR1	RGS17	breast cancer	15326299
IRF4	IGH@	multiple myeloma (MM)	10557056
JAZF1	SUZ12		19158498
JAZF1	SUZ12	"Endometrial stromal sarcomas(ESS), endometrial stromal nodules (ESN)"	17365822
JAZF1	SUZ12	endometrial stromal sarcoma	17235569
JAZF1	SUZ12	Endometrial stromal sarcomas	12850374
JAZF1	PHF1	Endometrial stromal sarcoma	17361217
JAZF1	SUZ12	Endometrial (uterine) stromal sarcoma	17361217
HFE2	BCL2	 Hodgkin's disease	1562734
HFE2	MYC	Burkitt's lymphoma	8140858
JUP	OR13C5	MCF7	17568001
JUP	OR13C9	MCF7	17568001
KRT19	CAT		7506253
HDAC9	DGKB	Wilms tumor	12461744
KIAA1549	BRAF	pilocytic astrocytoma	19363522
TOX4	BCL6	Bcell lymphoma	10469447
LMAN2	AP3S1	"VCaP, VCaPMet"	18438408
LPP	HMGA2	pulmonary chondroid hamartomas (PCHs)	16271958
LPP	MLL	acute myeloid leukemia	12063392
LPP	MLL	secondary acute leukemia	11433529
MACROD1	RUNX1		17532767
LYL1	TAL1	lymphoid leukemia	1949153
MAD2L2	PRCC	enal cell carcinoma (RCC)	11717438
MALT1	BIRC3	mucosaassociated lymphoid tissue (MALT) lymphoma	15086412
MBTPS2	YY2	"VCaP, LNCaP, VCaPMet"	18438408
CRTC1	MAML2	Mucoepidermoid carcinomas (MEC)	16075259
CRTC1	MAML2	mucoepidermoid carcinoma and Warthin's tumor of salivary glands	15269296
CRTC1	MAML2	Mucoepidermoid carcinoma	17361217
C8ORF82	OR13C5	MCF7	17568001
C8ORF82	OR13C9	MCF7	17568001
MIPOL1	DGKB		19136943
MIPOL1	DGKB	LNCaP	18438408
MLL	SEPT6	acute myeloid leukemia (AML)M4	14506700
MLL	MLLT10	acute myelogenous leukemia	17074587
MLL	MLLT10	"acute lymphoblastic (ALL), acute myeloid leukemias (AML)"	16213369
MLL	MLLT6	acute monocytic leukemia	16105757
MLL	MLLT11	acute monocytic leukemia(AML)	10700861
MLL	MLLT11	acute leukemia	10025907
MLL	AFF1	acute lymphoblastic leukemia	16046533
MLL	AFF1	acute lymphoblastic leukemia	15251979
MLL	AFF1	leukemia	14555522
MLL	AFF1	acute lymphoblastic leukemia	12885467
MLL	AFF1	acute lymphoblastic leukemia	12433702
MLL	AFF1	acute lymphoblastic leukemias(ALL)	11368362
MLL	AFF1	Acute leukemia	9766500
MLL	AFF1	ALL	9680349
MLL	AFF1	acute lymphoblastic leukemia	9365243
MLL	AFF1	Acute mixedlineage leukemia	7689231
MLL	AFF1	leukemia	9403001
MLL	AFF1	Blineage acute lymphoblastic leukemia(ALL)	11719380
MLL	MLLT4	leukemia	15951289
MLL	MLLT4	acute lymphoblastic and acute myeloid leukemias	11480574
MLL	MLLT4	acute monocytic leukemia(AML)	10719372
MLL	MLLT3	leukemia	18948748
MLL	MLLT3	acute myeloid leukemia	15075073
MLL	MLLT3	leukemia	12515728
MLL	MLLT3	"leukaemias, lymphomas and sarcomas"	11265751
MLL	MLLT3	"acute myelogenous leukemia (AML), acute lymphocytic leukemia (ALL)"	10861294
MLL	MLLT3	acute myeloid leukaemia	10393173
MLL	MLLT3	acute myeloid leukemia	9844920
MLL	MLLT3	acute leukemia	9331569
MLL	MLLT3	acute leukemia	8681380
MLL	ARHGEF12	AML	17361217
MLL	CBL	AML	17361217
MLL	OPN1LW	leukemia	15334549
MLL	OPN1LW	acute myeloid leukemia	15075073
MLL	OPN1LW	acute leukemia	11313967
MLL	OPN1LW	Tcell acute lymphoblastic leukemia	10706136
MLL	OPN1LW	chronic myelomonocytic leukemia	9290955
MLL	OPN1LW	hematologic disorder	9226152
MLL	SH3GL1	leukemia	14551139
MLL	ELL	acute myeloid leukemia	16114057
MLL	MLLT1	acute myeloid leukemia	16875930
MLL	MLLT1	acute leukemia	16688745
MLL	MLLT1		18648005
MLL	EPS15	leukemia	16826222
MLL	GPHN	acute monoblastic leukemia	11289145
MLL	KIAA0284	secondary acute myeloid leukemia	18640063
MLL	AFF3	acute lymphoblastic leukemia	12661012
MLL	ARHGEF12	acute myeloid leukemia (AML)	16283618
MLL	MLLT1		9731482
MLL	MAML2	"secondary acute myelogenous leukemia(AML), myelodysplastic syndrome(MDS)"	17551948
MLL	MLLT10	pediatric acute megakaryoblastic leukemia	16111539
MLL	MLLT3	acute myelogenous leukemia	15188459
MLL	EP300	acute myeloid leukemia	18778367
MLL	SEPT6	acute myeloid leukemia	17574968
MLL	SEPT6	acute myeloid leukemia	18492691
MLL	TIRAP	AML	17361217
MLL	MLLT3	acute myeloid leukemias	12242306
